,intensidad,ocupacion,vmed,cong,anom,outlier
1163,73,0,49,0,0,0
1164,60,0,24,0,0,0
1165,169,-1,69,0,0,0
1166,140,-1,67,0,0,0
1167,200,1,62,0,0,0
1168,180,-1,70,0,0,0
1169,577,4,68,0,0,0
1170,207,1,68,0,0,0
1171,280,2,62,0,0,0
1172,504,2,63,0,0,0
1173,599,2,66,0,0,0
1174,400,1,62,0,0,0
1175,360,1,62,0,0,0
1176,271,1,64,0,0,0
1177,720,2,70,0,0,1
1178,1335,5,64,1,0,0
1179,1140,6,57,1,0,0
1180,1560,8,61,1,0,0
1181,1119,4,64,1,0,0
1182,1260,6,59,1,0,0
1183,690,3,58,0,0,0
1184,1080,4,62,1,0,0
1185,1188,5,59,1,0,0
1186,991,6,60,1,0,0
1187,1170,6,61,1,0,0
1188,1050,5,57,1,0,0
1189,1120,6,57,1,0,0
1190,1107,6,58,1,0,0
1191,1040,5,59,1,0,0
1192,1284,6,61,1,0,0
1193,990,2,62,1,0,0
1194,1349,10,57,1,0,0
1195,840,4,68,1,0,0
1196,950,3,63,1,0,0
1197,990,5,63,1,0,0
1198,1455,5,63,1,0,0
1199,1020,4,61,1,0,0
1200,1691,8,58,1,0,0
1201,1860,8,62,1,0,1
1202,1800,7,60,1,0,0
1203,1660,6,60,1,0,0
1204,1596,6,64,1,0,0
1205,1584,7,59,1,0,0
1206,1500,6,59,1,0,0
1207,1320,4,63,1,0,0
1208,1001,4,61,1,0,0
1209,1171,5,64,1,0,0
1210,1400,6,59,1,0,0
1211,1132,7,62,1,0,0
1212,1240,7,57,1,0,0
1213,1305,8,62,1,0,0
1214,1405,8,58,1,0,0
1215,1140,6,59,1,0,0
1216,1545,7,62,1,0,0
1217,1275,4,60,1,0,0
1218,1260,6,60,1,0,0
1219,1321,7,58,1,0,0
1220,1464,7,58,1,0,0
1221,1305,6,56,1,0,0
1222,1600,7,57,1,0,0
1223,1245,6,63,1,0,0
1224,1350,7,61,1,0,0
1225,1284,5,59,1,0,0
1226,1250,6,59,1,0,0
1227,1200,5,61,1,0,0
1228,1440,6,63,1,0,0
1229,1404,6,58,1,0,0
1230,960,5,61,1,0,0
1231,1260,6,62,1,0,0
1232,1020,5,60,1,0,0
1233,419,2,60,0,0,0
1234,900,3,57,1,0,0
1235,1153,6,62,1,0,0
1236,1094,8,62,1,0,0
1237,1040,4,63,1,0,0
1238,828,4,61,1,0,0
1239,795,3,63,0,0,0
1240,768,4,64,0,0,0
1241,924,5,58,1,0,0
1242,451,3,61,0,0,0
1243,600,2,66,0,0,0
1244,826,3,60,1,0,0
1245,721,3,60,0,0,0
1246,1500,6,62,1,0,0
